BAROMETRIC_PRESSURE,ENGINE_COOLANT_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,SPEED,THROTTLE_POS,class
96.93209759,107.2875582,3526.201647,40.3461368,69.70250495,22.90693438,0.830852808,1
97.12874733,108.328507,4270.468973,37.22832324,63.20996002,61.13056381,0.766732861,1
97.54472989,105.0982079,4506.023525,27.97604975,67.91266078,68.28467788,0.683342196,1
96.05571972,108.0001755,3500.347998,35.87821069,53.83333677,60.18164735,0.826117835,1
95.61198564,109.1421525,3582.864498,42.80112236,51.79932258,56.55252201,0.74723711,1
100,82,1407,21,5.36,40,0.227,0
100,91,1759,51,4.64,64,0.224,0
101,89,1741,61,16.09,41,0.322,0
95.13268337,108.2648935,4503.568053,28.9086667,67.01527616,36.96268742,0.688985223,1
100,84,1374,72,17.01,47,0.318,0
100,82,1636,98,28.17,49,0.596,0
100,82,814,35,4.43,0,0.212,0
96.14351156,103.5755499,5337.407002,39.45419333,50.96418451,64.42075639,0.878263923,1
100,83,789,31,3.85,0,0.2,0
100,83,1442,66,14.88,35,0.318,0
100,93,741,42,4.29,16,0.224,0
101,81,799,36,4.69,0,0.212,0
100,83,1702,18,10.86,49,0.282,0
99,83,1088,78,11.54,26,0.314,0
97.05244706,108.0692157,4740.573035,51.85573107,65.82328682,33.12848319,0.831782856,1
97.74049244,100.0055124,5035.445251,54.11760942,63.54306244,62.13208183,0.626184863,1
100,89,1688,35,10.03,50,0.286,0
100,83,1424,29,3.58,20,0.204,0
100,84,2497,52,31,57,0.365,0
100,84,714,69,4.74,17,0.212,0
101,81,1658,61,17.55,40,0.325,0
98,86,2300,19,6.17,64,0.243,0
99,88,1593,42,8.44,37,0.271,0
97.5780865,102.3293279,4383.574284,58.08807645,65.32583457,35.3600174,0.915160878,1
100,90,1609,20,4.32,40,0.22,0
99,82,1814,64,4.63,33,0.341,0
100,84,1547,37,9.78,56,0.282,0
99,87,1776,51,23.03,42,0.349,0
97.58454278,108.3342404,4315.096403,56.32926567,64.38489448,43.93385455,0.85580127,1
100,95,1700,23,4.42,53,0.329,0
100,86,1857,40,20,31,0.333,0
101,87,1554,44,11.4,46,0.298,0
100,83,1868,71,8.41,42,0.286,0
97.24185614,103.8348691,4745.996505,48.91894592,57.98552859,53.70357428,0.732265592,1
99,83,2307,18,20.1,47,0.333,0
101,89,2134,59,23.77,67,0.345,0
96.27512523,105.3326648,5374.96326,53.58774219,60.98982653,46.78804781,0.870065226,1
99,83,2068,40,21.07,41,0.333,0
100,89,1851,40,9.88,62,0.294,0
100,84,1788,27,4.7,50,0.224,0
100,83,1703,21,23.84,29,0.357,0
100,94,1501,40,7.28,47,0.259,0
100,90,1517,47,13.38,45,0.306,0
100,82,1477,20,3.95,44,0.212,0
95.05745077,109.5389617,4572.443053,57.35363467,51.62477531,55.20089219,0.655920624,1
99,82,2625,68,8.45,21,0.271,0
100,95,794,34,6.02,0,0.204,0
95.8354408,108.8156848,4853.123819,64.3333438,53.86094936,26.99240667,0.679229091,1
99,92,805,34,4.25,30,0.204,0
100,83,1489,46,11.51,53,0.298,0
96.21725425,101.7317408,3975.1914,20.84311057,60.44016167,26.34262839,0.771919164,1
97.87425498,108.5522541,5325.121265,30.14671984,65.33140189,42.19766867,0.890979985,1
100,83,1757,26,15.46,56,0.314,0
97.62182922,109.1349613,5159.791751,52.04552263,62.81607613,55.48718884,0.613017427,1
101,84,1898,55,8.35,53,0.263,0
100,84,2155,66,27.26,51,0.357,0
99,84,787,35,4.68,0,0.212,0
100,84,2001,19,8.85,68,0.275,0
99,91,787,33,4.12,0,0.204,0
95.00968354,103.5815163,5485.906393,57.49706043,69.1377762,20.61529129,0.740090404,1
100,83,1444,46,3.91,43,0.212,0
95.21687441,106.5494409,4432.844989,55.90358786,63.92678457,52.69777541,0.88947512,1
99,82,2449,35,24.46,74,0.345,0
95.10951172,108.6695213,3956.650235,48.78611674,64.33963977,10.54722788,0.779125869,1
100,87,807,35,4.41,2,0.204,0
100,82,1681,43,5.19,50,0.263,0
101,91,2131,67,26.15,50,0.353,0
95.34836009,102.5507077,4704.122103,40.09021813,63.85629883,55.39953874,0.932820121,1
97.69535379,106.2785719,5018.782156,25.13617433,58.89135446,63.61781639,0.608861623,1
97.36603577,101.5593331,3842.481313,59.97444034,65.6852488,49.78422979,0.676749325,1
95.41918982,108.2484855,3756.000134,59.05883407,60.19551141,24.09091598,0.721856534,1
96.38851057,109.0487243,5000.621613,30.43265925,69.61078356,14.18930124,0.719178466,1
95.18492723,101.4170669,4058.856528,41.55985464,52.66237165,19.19084322,0.710187886,1
101,90,1468,21,14.8,46,0.314,0
95.81031286,105.0998053,3662.049665,32.58734146,65.41239046,56.39967582,0.655297546,1
100,82,1605,20,3.76,35,0.216,0
101,82,2113,63,8.42,42,0.263,0
100,84,1775,50,22.01,54,0.314,0
99,83,729,53,6.9,36,0.286,0
95.44511542,100.6757305,4050.381498,38.15232553,50.05752952,49.43518763,0.844073298,1
97.30271147,105.3623203,3689.372254,57.01920515,55.4630729,17.87892491,0.793708619,1
96.45762086,106.3319692,5167.375166,55.45339083,56.26541337,12.42504969,0.792789871,1
99,83,1996,52,16.28,62,0.318,0
95.01538441,108.0922789,4309.305233,54.54864375,56.16829457,44.79759398,0.888487844,1
96.01602545,103.3353546,5085.518524,39.38079936,57.98984406,21.64553055,0.823234591,1
100,82,1389,43,3.51,32,0.204,0
100,83,1837,21,18.95,57,0.329,0
97.86074329,107.1552994,3662.428717,21.66507336,65.37701203,37.69436773,0.807552504,1
101,91,1248,58,12.73,41,0.31,0
95.75288351,106.0022037,3909.230031,38.08659914,68.41171452,67.8528938,0.668997412,1
101,88,1785,46,7.31,35,0.247,0
100,89,2160,38,14.24,45,0.31,0
96.81205048,100.8630042,4805.271489,24.41379388,59.40547643,35.19172513,0.871232781,1
100,83,772,38,4.97,0,0.22,0
101,87,1992,51,5.66,57,0.239,0
100,83,1607,24,9.26,24,0.275,0
100,84,1681,54,14.48,5,0.314,0
100,83,1535,39,18.58,56,0.314,0
99,86,1638,29,4.28,37,0.216,0
100,85,2745,59,33.08,39,0.365,0
96.86395561,100.1943964,5286.993659,26.71959483,69.65675015,29.81561403,0.613343885,1
97.39073751,100.4737452,4972.195666,52.04626762,62.82622651,48.58261137,0.874849159,1
100,83,1856,65,23.32,45,0.349,0
95.27593922,105.1508701,3707.457666,50.91911718,54.77102356,33.85578694,0.648544431,1
99,83,1866,19,4.93,50,0.227,0
101,100,793,34,4.55,0,0.212,0
100,85,803,34,3.68,0,0.2,0
97.0616952,101.2871276,4909.610285,59.21118329,50.26039765,17.14243446,0.910319518,1
99,63,842,35,4.98,0,0.22,0
100,92,829,91,5.61,19,0.231,0
95.52169753,105.0149502,5313.470975,41.18175408,65.73535073,10.05410921,0.630636718,1
100,82,1190,34,19.41,29,0.549,0
97.60657208,106.2389607,4031.504709,43.16232968,66.77837884,25.56690061,0.860419441,1
99,90,798,32,4.26,0,0.204,0
101,81,778,33,4.32,6,0.208,0
97.71123641,107.0366753,4451.960397,56.3728278,66.53041193,38.81352391,0.821763418,1
96.50849539,101.1631005,5240.330692,38.06674513,66.81698112,31.52916004,0.817008301,1
96.54608786,102.8616486,3648.172316,59.43549285,60.35627879,22.88003425,0.890211835,1
100,84,793,31,15.67,0,0.204,0
96.82148784,109.7817997,5059.288,43.81635385,50.19408362,42.88255711,0.650470076,1
95.56753771,102.3960313,4386.860764,49.15239169,67.74688662,47.67848188,0.933034544,1
101,86,867,72,12.82,19,0.322,0
95.87124665,100.88129,4067.139206,53.82776843,52.31147408,41.24212399,0.810632227,1
100,85,1578,32,4.12,43,0.216,0
100,94,2245,31,9.32,27,0.278,0
100,82,1180,20,3.25,41,0.192,0
100,84,786,36,3.99,0,0.204,0
96.99254086,107.9433823,5060.669174,53.76904351,58.36469389,12.25330894,0.880109308,1
100,82,1581,43,18.51,52,0.329,0
99,93,1812,61,21.82,34,0.341,0
100,83,1868,72,9.71,58,0.282,0
100,85,1405,20,3.64,43,0.208,0
100,84,1991,19,12.76,44,0.302,0
99,84,789,38,4.78,0,0.22,0
96.27413571,102.0010038,4540.650033,55.35218,63.3482859,66.23200874,0.792589822,1
101,89,1276,22,8.9,36,0.282,0
101,85,852,32,3.88,21,0.196,0
99,87,1595,50,12.15,50,0.298,0
100,82,2827,67,9.94,39,0.251,0
99,82,1428,64,19.27,35,0.337,0
99,83,2505,60,23.76,52,0.345,0
95.25299108,106.7727484,4667.639819,42.25504169,64.22548342,21.02351702,0.768203555,1
100,84,779,32,4.35,0,0.204,0
99,90,802,32,4.09,0,0.204,0
101,82,1599,45,9.78,49,0.282,0
100,85,1911,74,25.61,60,0.357,0
99,84,1593,64,17.56,38,0.325,0
101,82,1550,43,10.25,16,0.271,0
100,85,1848,81,21.42,44,0.345,0
99,83,2214,47,21.74,67,0.333,0
100,89,803,32,3.82,31,0.2,0
97.99013777,100.5863028,4501.00061,46.91817717,62.0306755,53.61073067,0.626476952,1
100,94,1584,26,8.94,47,0.275,0
100,91,1710,77,24.7,54,0.357,0
95.48948298,104.138305,3952.918909,39.08395697,50.22900354,56.86914292,0.812487481,1
96.70401156,107.3781209,4185.146161,32.72299393,56.82379674,45.45938142,0.928943611,1
100,93,1378,98,22.29,47,0.576,0
95.57713748,108.7496044,4440.696197,66.33537776,51.05179852,14.72621385,0.851961662,1
100,81,823,48,4.42,40,0.204,0
96.33754316,102.0150807,4870.744347,43.8547584,69.26512397,32.24435429,0.842771828,1
96.06092489,103.1696526,4173.693432,35.94736449,58.95395164,54.76861261,0.622978543,1
100,85,1466,21,3.84,39,0.212,0
95.71799992,107.0229918,4049.748801,38.11968953,60.80016036,24.31435828,0.613002421,1
99,83,1770,68,18.86,57,0.329,0
96.06296526,108.3929039,3880.005025,33.09411328,68.13007331,20.98948854,0.855966644,1
99,83,1525,43,10.73,36,0.294,0
101,83,783,33,4.36,1,0.208,0
97.69904354,102.4000722,4348.396071,45.2150075,60.3158728,15.03152647,0.778569192,1
101,91,793,31,4.02,0,0.204,0
101,92,1840,26,4.96,26,0.227,0
96.15309651,105.7558621,4936.899253,31.24868912,68.01495847,48.87454993,0.617295246,1
100,84,1626,33,4.31,56,0.22,0
99,84,1930,35,5.31,17,0.231,0
96.89525028,105.5634684,4475.920085,48.90388143,68.72151635,57.19883065,0.854603963,1
100,83,1786,28,11.49,53,0.298,0
100,83,1560,52,12.81,46,0.302,0
99,84,813,31,4.17,0,0.204,0
101,89,797,32,3.98,55,0.204,0
95.69902567,103.7904345,5405.63044,65.72055114,69.90885561,30.53397215,0.755858933,1
95.16681945,102.7780935,5073.239919,40.40288584,52.21097912,46.1511932,0.750440304,1
100,82,2132,62,16.66,56,0.333,0
99,83,2010,76,25.9,26,0.361,0
100,86,1847,48,4.97,25,0.227,0
100,89,1217,21,14.86,37,0.322,0
97.18601005,106.4188028,5457.871626,36.12061477,50.77846754,18.47517404,0.723222912,1
99,84,877,61,8.31,18,0.306,0
100,83,2349,27,23.01,50,0.341,0
97.45670729,105.3933649,3953.316209,25.76417797,54.6808414,44.04834662,0.741037345,1
95.92882104,107.8781729,3728.573607,30.36705969,51.90376237,10.41901527,0.902273216,1
100,87,1928,20,5.62,18,0.239,0
97.28419074,100.4434512,5227.657299,59.21996166,51.59178425,54.65040658,0.857438122,1
100,82,1160,71,3.55,20,0.192,0
100,83,1604,42,10.86,55,0.294,0
100,83,785,49,4.81,0,0.212,0
100,99,550,37,9.22,5,0.294,0
100,81,1852,30,11.19,58,0.294,0
100,83,757,32,3.8,2,0.204,0
100,83,802,33,24.71,0,0.208,0
97.69392886,103.2965395,3859.797075,68.65922805,52.35660631,53.1716472,0.809523768,1
96.2966242,107.9496833,3580.936517,39.76138637,58.04929167,59.07144484,0.652180732,1
99,82,1463,19,3.76,54,0.216,0
100,83,2364,19,11.8,49,0.298,0
100,83,802,33,4.61,0,0.208,0
100,84,801,34,3.86,0,0.204,0
101,89,1536,40,15.78,34,0.31,0
95.93601457,108.2564733,4690.821508,40.66786471,64.79239855,51.55288916,0.643049628,1
100,90,943,43,3.16,25,0.216,0
99,83,800,36,4.55,0,0.208,0
101,84,1825,92,11.89,57,0.329,0
97.22370909,106.6999753,4797.713132,49.96859584,53.3061929,51.18233479,0.619293972,1
100,82,787,32,4.38,45,0.204,0
101,95,803,35,4.47,0,0.208,0
97.01349576,103.2856803,5035.64382,61.60673174,51.24376547,14.72405593,0.689205788,1
96.54844809,106.9325959,3763.544743,38.08522157,61.62631833,25.260128,0.648059794,1
101,81,1474,62,17.57,37,0.325,0
100,83,808,37,4.12,0,0.204,0
97.02938882,100.0875313,4240.655607,30.48418666,57.47888311,66.98175618,0.752150897,1
99,88,876,31,3.79,8,0.196,0
100,95,804,35,4.37,0,0.208,0
100,85,791,34,4.17,27,0.204,0
100,93,1973,19,5.15,35,0.235,0
99,83,1504,21,3.93,41,0.216,0
97.7895889,100.0701211,4076.35292,53.5911905,66.90630393,28.93650417,0.793530446,1
100,90,1583,68,16.99,48,0.322,0
100,85,814,37,4.75,0,0.212,0
99,89,1397,54,21.64,44,0.365,0
101,84,923,35,3.88,48,0.235,0
100,86,1469,32,3.88,6,0.2,0
101,91,1557,41,4.2,55,0.216,0
100,85,2010,65,15.79,54,0.333,0
100,82,2127,19,7.4,37,0.263,0
99,96,792,35,4.47,0,0.208,0
97.29721958,104.3690724,4376.877007,23.17734293,63.88485714,17.07246827,0.679006537,1
100,93,774,48,5.06,1,0.224,0
101,83,2347,36,16.92,50,0.325,0
101,97,778,34,4.2,0,0.204,0
100,83,1829,25,14.1,57,0.318,0
100,85,2748,20,37.07,38,0.376,0
100,84,1464,20,13.98,12,0.31,0
95.28852681,107.8324897,3741.755328,65.39731951,55.38029299,60.46693887,0.682770973,1
100,92,1760,19,4.58,51,0.224,0
96.0410867,107.3587358,4982.684624,58.24646088,59.59903564,30.52083251,0.880692176,1
99,86,1381,19,3.77,48,0.204,0
95.79363251,105.4011559,4641.96241,56.17834317,53.43567559,68.04502635,0.815308394,1
101,87,795,33,4.02,10,0.2,0
101,86,971,51,10.96,18,0.302,0
98,82,830,26,4.09,12,0.2,0
100,85,1465,58,9.64,37,0.29,0
97.64387734,104.3599333,3968.892488,21.26035582,59.6372094,59.61711643,0.77955219,1
96.06412084,109.1827805,3634.564314,60.66648504,52.39468849,45.32094292,0.742855775,1
97.09878183,106.3527432,4332.394829,43.11194943,59.01274043,25.24584128,0.843194913,1
100,84,1687,44,20.39,39,0.337,0
97.14368549,105.2451306,4692.27999,43.00735619,52.63810437,15.10805733,0.738028562,1
100,83,810,33,4.22,0,0.204,0
97.70245499,107.9948246,4322.649231,40.98366895,69.2590968,65.4266893,0.643856887,1
97.63301287,101.3603255,4759.493323,64.67218324,68.17435932,10.42818094,0.757377565,1
96.41418052,101.7841531,3818.217924,52.44949309,65.69561648,25.92615181,0.891440694,1
100,89,1709,51,12.18,38,0.302,0
95.31795054,101.3802907,4934.404819,53.97826743,67.13661319,21.90907727,0.87644965,1
97.57510852,100.3601143,3894.50689,57.3051036,65.44650023,27.81161462,0.676546699,1
100,82,1938,35,16.8,45,0.318,0
99,82,1907,71,17.42,61,0.329,0
99,84,1670,23,7.19,49,0.259,0
100,83,2076,21,7.8,43,0.267,0
96.20263786,107.2822908,4230.726064,43.15853088,69.6984421,30.56705097,0.851872133,1
99,84,1742,24,23.54,27,0.349,0
97.90967015,101.5684376,3809.502914,63.567098,56.32984801,12.51909236,0.903255754,1
100,83,1635,19,4.02,45,0.224,0
96.32874213,104.6509083,4879.606747,49.29154933,60.16936071,16.5330151,0.735151907,1
97.15819335,106.8137388,5248.48812,34.68687679,59.58074976,60.4661268,0.792074657,1
100,83,1512,19,4.53,59,0.224,0
100,85,2119,69,26.27,52,0.357,0
100,82,1173,19,9.79,42,0.282,0
100,83,1305,60,21.61,44,0.576,0
100,93,1903,57,18.96,44,0.333,0
97.73974398,109.8906371,4637.728673,57.57821748,61.2247829,46.85254303,0.914156577,1
97.32301166,104.6334341,4726.711342,30.89832764,60.44061137,67.91507503,0.83502989,1
99,84,1372,41,10.13,29,0.286,0
100,82,2392,32,23.71,51,0.345,0
101,89,1103,77,13.47,40,0.318,0
100,84,780,46,5.64,2,0.239,0
95.16255761,100.1744203,4448.826824,64.05153506,67.43610968,61.24100751,0.697422824,1
97.90335799,105.4586186,4540.621297,65.31247401,67.89155056,18.4794308,0.813934946,1
95.67122763,106.4612431,5397.309039,51.0288835,67.34011112,20.86375678,0.602167398,1
97.99806398,104.2014904,5062.821707,36.11640796,55.24146959,53.964328,0.931286537,1
101,83,2337,71,31.67,74,0.369,0
100,85,1771,72,20.85,31,0.337,0
100,88,803,35,4.35,0,0.208,0
100,91,1577,24,4.14,35,0.208,0
100,83,1463,43,14.81,45,0.314,0
100,85,1525,19,21.73,32,0.349,0
99,83,1861,50,15.93,57,0.318,0
101,85,810,35,4.22,0,0.204,0
101,89,1321,67,11.13,19,0.298,0
100,90,1776,37,15.4,40,0.318,0
96.03893444,102.5868015,4022.072097,34.68568599,56.92475577,25.64541356,0.786473254,1
97.47301374,108.09002,4460.36472,46.26461739,50.86701051,25.77563146,0.790100729,1
97.62167967,109.8232833,3500.308091,41.1782482,58.86867382,32.93041755,0.740714176,1
100,85,793,26,4.7,0,0.208,0
97.4831413,105.7701048,4479.984093,49.25817725,60.06667639,36.31232381,0.798628097,1
99,88,1328,32,12.16,14,0.302,0
100,93,2326,59,8.52,19,0.224,0
97.35662073,107.6609164,5196.94898,29.28683977,52.67669795,16.27002286,0.761737178,1
95.04635604,104.8136121,4168.613084,49.91990639,50.1907677,46.77580605,0.803360217,1
97.28114095,103.2672721,3720.986034,35.19625825,67.31757549,29.82750244,0.879469751,1
100,85,1760,19,4.6,47,0.224,0
100,86,3039,20,33,62,0.365,0
97.98668612,103.310636,5068.592048,57.61701207,68.98998588,64.33669085,0.792707814,1
100,85,1466,20,3.85,41,0.212,0
95.45383264,100.223325,3793.496996,56.96701048,54.80952066,61.31192634,0.66766885,1
100,85,1452,64,21.46,47,0.349,0
100,84,1844,19,16.02,66,0.318,0
100,82,2013,54,5.48,46,0.231,0
100,94,1621,79,8.9,51,0.275,0
97.21090164,100.5710404,3525.682448,31.39164747,68.00150436,10.15843595,0.645516341,1
101,83,1356,65,13.8,35,0.314,0
99,82,2299,20,6.39,46,0.251,0
97.81808166,109.2159474,4608.481642,36.45754692,50.41244409,55.36028525,0.825791948,1
97.03445895,103.8170376,3764.427068,60.14206493,52.77651398,62.35026429,0.615262063,1
100,86,1710,62,18.75,54,0.329,0
99,84,1709,33,6.22,48,0.247,0
100,84,1724,31,4.77,47,0.224,0
95.53162752,102.4472986,3575.220401,20.11560723,56.37784255,36.3298595,0.747040935,1
95.11956245,102.8119852,3929.817696,58.05911995,58.90592483,28.53417291,0.909468764,1
101,91,806,33,3.95,0,0.204,0
99,82,1849,36,4.58,26,0.224,0
96.29529068,109.94846,4149.821586,34.30847303,57.26965951,69.11552644,0.781034016,1
96.65396055,100.060468,4866.157069,45.58417468,57.5911985,16.39115737,0.724940202,1
96.17654123,101.3528347,4672.126997,20.95373267,53.97433224,55.5888931,0.930576185,1
96.92695241,108.8997244,4843.565208,46.95049281,63.75998052,53.81798885,0.875403001,1
97.06282633,103.0655762,5222.307241,45.29021371,54.00965281,34.82759792,0.643409564,1
99,88,2051,62,23.41,47,0.345,0
97.82769585,108.4417087,3593.538741,54.88211117,55.00937105,43.71683111,0.721147104,1
99,85,787,34,4.7,0,0.212,0
100,94,1893,34,4.3,27,0.22,0
100,82,3099,33,13.39,32,0.29,0
96.1377142,107.53113,3608.187011,61.28344871,65.69864049,59.36767631,0.694086126,1
100,83,810,38,4.2,0,0.204,0
100,88,1639,38,4.03,41,0.212,0
100,86,2835,83,8.61,43,0.263,0
97.20765885,101.585577,4186.995991,43.74826035,65.95551707,15.38601059,0.753069053,1
100,82,956,36,2.88,9,0.196,0
99,84,908,60,3.75,26,0.188,0
99,83,793,35,4.25,0,0.204,0
95.98418978,108.0547681,4798.001563,40.4148228,62.40230868,32.81197786,0.813830818,1
101,99,787,36,4.3,0,0.208,0
100,87,2017,21,5.15,53,0.231,0
101,97,798,30,4.14,38,0.2,0
100,89,1695,49,21.77,52,0.341,0
100,86,798,30,3.83,19,0.2,0
97.53258853,104.0919503,3747.445488,25.88246753,52.88082672,52.88789316,0.814430335,1
100,83,1973,19,26.04,58,0.357,0
99,84,1720,21,18.79,39,0.329,0
100,83,1556,79,19.09,40,0.333,0
99,82,809,33,4.05,10,0.204,0
100,89,1998,47,22.75,35,0.345,0
99,83,1934,41,11.2,57,0.298,0
101,83,1420,43,10.22,52,0.286,0
100,83,1315,47,3.3,51,0.196,0
100,89,773,33,4.52,25,0.216,0
101,86,1519,21,10.41,44,0.29,0
100,90,816,32,4.32,0,0.204,0
99,83,819,35,3.69,22,0.196,0
95.30865227,106.9633915,5239.223926,55.56202425,53.43770514,47.94953537,0.927573727,1
99,83,1292,50,12.28,23,0.302,0
100,87,1534,48,11.73,31,0.298,0
100,94,1903,66,18.85,71,0.333,0
96.95663348,100.0035978,4179.762618,47.57744859,68.16368679,59.78195008,0.738903044,1
100,92,1573,86,10.25,32,0.29,0
95.7381676,109.0640946,5409.832231,54.47878735,51.64570626,21.7714016,0.862279669,1
95.04006259,108.3007912,3751.50656,30.20522831,52.66432679,49.26767536,0.632342154,1
97.36834841,100.430193,5282.092321,21.7903159,51.19900791,51.20323911,0.883544712,1
100,83,1336,47,3.53,14,0.325,0
101,89,798,46,4.38,21,0.204,0
97.78343866,103.2555042,4431.905456,33.84493788,69.2533315,65.80293863,0.606907901,1
100,85,797,41,4.89,12,0.227,0
100,91,1725,44,13.23,64,0.306,0
100,83,1800,71,23.55,43,0.349,0
99,85,1452,44,8.76,55,0.271,0
101,100,765,60,5.28,7,0.235,0
96.95003058,104.1455668,5294.015239,56.42091639,52.48592833,20.96697722,0.877244833,1
100,82,943,33,3.83,32,0.212,0
101,95,1720,24,9.38,23,0.278,0
97.43255156,107.3744128,4224.42884,34.17839295,65.52879972,52.76691714,0.750257027,1
100,85,1035,61,10.4,24,0.286,0
97.55999551,108.4812681,4242.932221,65.99555266,63.21709332,46.61144971,0.708636829,1
101,83,1688,54,12.3,52,0.298,0
100,81,2051,20,7,39,0.271,0
100,83,1886,68,17.28,29,0.314,0
96.09422836,105.0241148,3610.191603,20.71935129,56.24945321,38.90231469,0.888481348,1
101,89,1987,40,24.83,30,0.353,0
95.77322693,103.0903153,3688.447647,34.67169613,52.76827583,35.63577315,0.746368773,1
95.20056638,107.938463,4375.869232,58.59316967,69.38781363,59.18764242,0.906709277,1
99,81,1497,30,3.71,49,0.204,0
101,85,1489,33,14.34,53,0.31,0
100,88,2783,19,43.81,41,0.4,0
101,91,1476,89,23.62,56,0.373,0
100,83,1891,37,11.84,57,0.298,0
96.62304194,108.5882136,4847.290604,38.78499975,60.53757614,14.88741308,0.71622634,1
99,85,1213,50,5.76,26,0.263,0
96.10085663,100.9992125,4925.22834,52.90881658,53.54962413,31.90513566,0.750231211,1
100,90,811,33,4.49,0,0.208,0
95.28289844,101.6021058,5463.225282,32.61841771,63.67181033,57.6098523,0.785073142,1
95.57910639,100.5773959,4387.64468,59.43829826,62.27135598,37.80134324,0.691192834,1
95.46489977,105.9128644,3882.738462,64.87762165,63.72834179,30.77027451,0.7829776,1
96.30016587,103.31059,4276.464921,35.92312716,62.64226645,18.45501839,0.814538356,1
99,84,2041,92,29.71,32,0.361,0
100,83,774,31,3.95,30,0.2,0
97.58396873,103.8848214,5359.22183,29.0136419,55.02536339,45.35859317,0.617487182,1
99,94,2447,31,18.08,72,0.325,0
101,91,814,35,4.46,0,0.208,0
100,82,1460,20,3.88,44,0.216,0
99,83,810,36,4.78,0,0.212,0
99,88,1685,28,8.07,50,0.267,0
100,83,1826,71,3.75,46,0.349,0
95.94228438,103.7064506,4750.067838,37.39265626,68.22890228,52.55426747,0.624997745,1
95.09392481,105.0200985,5465.792874,30.14220537,54.4440554,52.29367625,0.828265089,1
95.72863152,100.3750093,5474.00151,50.67163206,64.88266369,34.76079334,0.673607965,1
100,83,1977,31,14.59,16,0.314,0
97.93153269,105.5238957,4485.216699,52.93949321,63.88703065,31.55702602,0.810144035,1
101,82,806,35,4.49,0,0.208,0
96.30757486,103.7081204,4981.163243,69.2059246,64.49163675,65.57180346,0.851917871,1
101,84,809,33,4.32,0,0.204,0
97.07874553,106.3397962,5180.900211,63.35283814,55.32108591,31.60400593,0.904227611,1
97.28669517,106.7364009,4825.847201,51.83735776,56.81625757,22.9208194,0.83313552,1
100,81,1774,51,18.92,57,0.329,0
97.28699587,105.7711769,3532.466912,54.52268774,55.78636782,39.01912371,0.632631428,1
99,83,2484,42,27.85,36,0.353,0
